expt,geckoID,trial,4_limbs,fl_ht_mm,bl_ht_mm,avg_fl_stroke_vel_vert_mms,avg_fl_stroke_vel_hor_mms,avg_bl_stroke_vel_vert_mms,avg_bl_stroke_vel_hor_mms,bl_slap_vel_mms,fl_slap_vel_mms,fl_stroke_vel_mms,bl_stroke_vel_mms,stance_s,swing_s,period_s,vel_mms,head_ht_mm,fl_slap_imp_mNs,fl_slap_force_mN,fl_stroke_ver_imp_mNs,fl_stroke_ver_force_mN,fl_stroke_hor_imp_mNs,fl_stroke_hor_force_mN,bl_slap_imp_mNs,bl_slap_force_mN,bl_stroke_ver_imp_mNs,bl_stroke_ver_force_mN,bl_stroke_hor_imp_mNs,bl_stroke_hor_force_mN,min_imp_required_mNs,amp_nose,period_nose,wl_nose,amp_headbase,period_headbase,wl_headbase,amp_bodymid,period_bodymid,wl_bodymid,amp_tailbase,period_tailbase,wl_tailbase,amp_tailmid,period_tailmid,wl_tailmid,amp_tailtip,period_tailtip,wl_tailtip,omega,tail_submerge_mm,body_submerge_mm,body_angle,l_body_above_water_cm,avg_fl_slaptime_s,avg_fl_stroketime_s,avg_bl_slaptime_s,avg_bl_stroketime_s,body_thrust_mN,tail_thrust_mN,expt_avg_period_s,step_s,weight_g,weight_mN,weight_imp,fl_mm,ffoot_mm,ffoot_cm2,ffoot_rad_mm,bl_mm,bfoot_mm,bfoot_cm2,bfoot_rad_mm,tail_len_mm,svl_mm,body_ht_mm,body_wd_mm,buoyancy_N,buoyancy_mN,body_volume,fullbodyvolume,,tail_volume,surface_tension_value,surface_tension_N,surface_tension_mN,surface_tension_imp_mNs,rho_value,v_water,buoyancy_imp_mNs,tot_leg_vert_imp_mNs,tot_leg_hor_imp_mNs,tot_leg_vert_imp/min_imp,Bo,avg_2leg_stroke_vel_mms,avg_2feet_rad_mm,We,hull_sp_mms,freq_bodymid,freq_tailtip,froude,stance_ms,swing_ms,step_ms,period_ms,coeff_drag
soap,10,6,1,,,,,,,,,,,,,,313.29,7.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.67928571,135.3207143,,,,,,,,0.104583,,5.3,51.94,,19.3,6.6,0.34211944,3.3,24.3,7.9,0.490166994,3.95,59.2,56.5,9.4,14.4,0.031308718,,,9201.599219,7.58E-02,0,0.035,0.001594358,1.594358272,,940,0.00089,,,,,8.6811193,,3.625,,425.0218418,,,0.420811699,,,,,0.703
soap,10,8,1,,,,,,,,,,,,,,311.17,4.7499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37820513,153.6217949,,,,,,,,0.104583,,5.3,51.94,,19.3,6.6,0.34211944,3.3,24.3,7.9,0.490166994,3.95,59.2,56.5,9.4,14.4,0.031308718,,,9201.599219,4.98E-01,0,0.035,0.001594358,1.594358272,,940,0.00089,,,,,8.6811193,,3.625,,425.0218418,,,0.417964111,,,,,0.703
water,1,1,0,,,,,,,,,,,,,,560.37,9.3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.401748122,,,,,,,,0.088179,,5.57,54.586,,20,6,0.282743339,3,27,9,0.636172512,4.5,,57,,,,,,0,2.80E-01,,0.07197,0.003391506,3.391506349,,999.97,0.00089,,,,,8.178162318,,3.75,,,,,0.749381462,,,,,0.703
water,1,2,0,,,,,,,,,,,,,,576.26,12.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088179,,5.57,54.586,,20,6,0.282743339,3,27,9,0.636172512,4.5,,57,,,,,,0,1.34E-01,,0.07197,0.003391506,3.391506349,,999.97,0.00089,,,,,8.178162318,,3.75,,,,,0.770631121,,,,,0.703
water,3,1,1,,,,,,,,,,,,,,536.77,9.8859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088179,,5.4,52.92,,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,,,9487.808048,,0,0.07197,,,,999.97,0.00089,,,,,8.40851389,,3.1,,405.9702978,,,0.700170924,,,,,0.703
water,3,4,1,13.295,18.958,151.5,737.26,675.6,1512.9,1107.8,626.66,151.5,675.6,0.019,0.058,0.078,562.31,18.464,0.0249,2.0742,0.30411,16.006,0.21161,11.137,0.0876,7.3014,0.41511,31.932,0.67562,51.971,2.06388,10.469,37,42.287,12.195,33,42.444,11.53,37,43.384,11.363,39,51.017,19.729,35,47.319,42.219,36,48.238,88.31366015,12.65818952,8.937219731,139.85,2.239857705,0.012,0.019,0.012,0.013,10.26298357,0.072482496,0.088179,0.039,5.4,52.92,2.06388,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,33.24166449,3.39E-06,9.49E+03,3.57E-01,0,0.07197,,,,999.97,0.00089,1.296424915,0.83172,0.88723,0.402988546,8.40851389,413.55,3.1,7.366364632,405.9702978,0.169815819,0.174532925,0.733485687,19,58,39,78,0.703
water,3,9,1,20.971,11.9,621.56,114.98,790.95,914.87,1145.5,1015.3,621.56,790.95,0.021,0.054,0.072,717.66,21.1,0.0403,2.5205,0.19758,9.4087,0.38282,18.229,0.0906,11.325,0.44114,24.508,0.47491,26.384,1.90512,18.835,38,51.509,13.895,31,54.389,11.847,37,54.96,13.143,39,59.154,21.435,37,53.724,33.987,35,53.935,90.83690758,11.85891614,8.463164638,141.3,2.340599455,0.016,0.021,0.008,0.018,10.26034939,0.071725901,0.088179,0.036,5.4,52.92,1.90512,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,32.34891685,3.30E-06,9.49E+03,3.48E-01,0,0.07197,,,,999.97,0.00089,1.164561007,0.76962,0.85773,0.403974553,8.40851389,706.255,3.1,21.48425177,405.9702978,0.169815819,0.17951958,0.936126581,21,54,36,72,0.703
water,3,11,1,21.897,23.393,156.68,517.48,56.287,928.52,1278.8,1371.9,156.68,56.287,0.027,0.058,0.086,581.59,25.514,0.0545,6.8113,0.2962,10.97,0.18894,6.9979,0.10114,10.114,1.7229,74.91,0.4789,20.822,2.27556,16.386,36,54.032,14.031,42,60.299,19.841,41,53.121,17.99,45,53.392,35.347,43,56.44,49.728,42,50.509,75.69742299,9.355753647,10.47932489,141.45,1.941004862,0.008,0.027,0.01,0.023,29.02075704,0.11392905,0.088179,0.043,5.4,52.92,2.27556,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,35.89002202,3.66E-06,9.49E+03,3.86E-01,0,0.07197,,,,999.97,0.00089,1.543270947,2.17474,0.66784,0.955694422,8.40851389,106.4835,3.1,0.488384416,405.9702978,0.153248422,0.14959965,0.758634811,27,58,43,86,0.703
water,3,16,1,16.136,15.761,211.63,519.04,312.09,788.78,932.53,476.21,211.63,312.09,0.031,0.07,0.102,531.56,20.126,0.026,0.94575,0.19614,7.7254,0.18903,6.0978,0.0834,6.1461,0.39902,14.432,0.4406,14.687,2.69892,21.625,50,57.163,9.9621,40,51.669,13.394,50,61.335,16.351,50,47.498,32.146,50,60.135,56.153,50,63.862,63.58583531,9.76904376,11.48523207,139.5,2.292949757,0.02,0.031,0.012,0.03,9.746223965,0.072770175,0.088179,0.051,5.4,52.92,2.69892,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,32.7711763,3.34E-06,9.49E+03,3.52E-01,0,0.07197,,,,999.97,0.00089,1.671329991,0.70456,0.62963,0.261052569,8.40851389,261.86,3.1,2.953489894,405.9702978,0.125663706,0.125663706,0.693374921,31,70,51,102,0.703
water,3,17,1,18.079,18.702,128.85,478.72,310.68,735.3,904.17,730.62,128.85,310.68,0.027,0.068,0.094,574.51,19.927,0.0189,2.0729,0.23949,12.858,0.18721,6.9336,0.0738,5.9592,0.43296,18.86,0.42777,18.599,2.48724,24.816,40,56.096,10.666,50,59.602,18.739,50,60.37,18.472,40,54.545,32.913,50,57.585,55.506,50,59.587,63.58583531,12.50324149,11.62447257,133.55,1.835980551,0.014,0.027,0.012,0.023,19.30821394,0.09763489,0.088179,0.047,5.4,52.92,2.48724,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,36.82072063,3.75E-06,9.49E+03,3.96E-01,0,0.07197,,,,999.97,0.00089,1.73057387,0.76515,0.61498,0.307630144,8.40851389,219.765,3.1,2.080243707,405.9702978,0.125663706,0.125663706,0.749399552,27,68,47,94,0.703
